Dry Bulb  Temperature (¢J),Relative Humidity (%),Wind Speed (m/s),Solar Radiation (W/m2),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J)
31.021989,68.22419355,2.076580645,631.3409235,27.2,40.8,30.3
30.04259,68.22419355,2.076580645,631.3409235,26.3,39.7,29.4
31.021989,68.22419355,2.076580645,631.3409235,27.2,40.8,30.3
31.021989,68.22419355,2.076580645,631.3409235,27.2,40.8,30.3
30.04259,68.22419355,2.076580645,631.3409235,26.3,39.7,29.4
30.04259,68.22419355,2.076580645,631.3409235,26.3,39.7,29.4
30.04259,68.22419355,2.076580645,631.3409235,26.3,39.7,29.4
29.347161,68.22419355,2.076580645,631.3409235,25.7,39,28.7
31.021989,79.34790374,0.908132719,561.6296296,29.3,42.7,32.2
30.634541,79.34790374,0.908132719,561.6296296,29,42.3,31.8
31.021989,79.34790374,0.908132719,561.6296296,29.3,42.7,32.2
29.347161,79.34790374,0.908132719,561.6296296,27.8,41,30.6
24.614107,79.34790374,0.908132719,561.6296296,23.6,36.1,26.2
29.347161,79.34790374,0.908132719,561.6296296,27.8,41,30.6
24.165982,79.34790374,0.908132719,561.6296296,23.2,35.6,25.8
24.614107,79.34790374,0.908132719,561.6296296,23.6,36.1,26.2
24.614107,79.34790374,0.908132719,561.6296296,23.6,36.1,26.2
24.614107,79.34790374,0.908132719,561.6296296,23.6,36.1,26.2
24.614107,79.34790374,0.908132719,561.6296296,23.6,36.1,26.2
15.6513095,79.34790374,0.908132719,561.6296296,15.7,26.9,17.9
15.29270925,79.34790374,0.908132719,561.6296296,15.4,26.5,17.6
27.727402,72.16115105,3.331352381,762.2804233,24.8,37.6,27.6
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
30.373372,72.16115105,3.331352381,762.2804233,27.1,40.3,30.1
25.198233,72.16115105,3.331352381,762.2804233,22.5,35,25.3
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
29.347161,72.16115105,3.331352381,762.2804233,26.2,39.2,29.1
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
30.04259,72.16115105,3.331352381,762.2804233,26.8,39.9,29.8
30.04259,72.16115105,3.331352381,762.2804233,26.8,39.9,29.8
30.373372,72.16115105,3.331352381,762.2804233,27.1,40.3,30.1
30.821162,72.16115105,3.331352381,762.2804233,27.5,40.7,30.5
30.373372,72.16115105,3.331352381,762.2804233,27.1,40.3,30.1
30.373372,72.16115105,3.331352381,762.2804233,27.1,40.3,30.1
30.373372,72.16115105,3.331352381,762.2804233,27.1,40.3,30.1
30.028272,72.16115105,3.331352381,762.2804233,26.8,39.9,29.8
30.373372,72.16115105,3.331352381,762.2804233,27.1,40.3,30.1
30.327428,72.16115105,3.331352381,762.2804233,27.1,40.2,30
30.028272,72.16115105,3.331352381,762.2804233,26.8,39.9,29.8
30.028272,72.16115105,3.331352381,762.2804233,26.8,39.9,29.8
27.727402,72.16115105,3.331352381,762.2804233,24.8,37.6,27.6
30.327428,72.16115105,3.331352381,762.2804233,27.1,40.2,30
30.327428,72.16115105,3.331352381,762.2804233,27.1,40.2,30
30.327428,72.16115105,3.331352381,762.2804233,27.1,40.2,30
30.028272,72.16115105,3.331352381,762.2804233,26.8,39.9,29.8
30.028272,72.16115105,3.331352381,762.2804233,26.8,39.9,29.8
30.274946,72.16115105,3.331352381,762.2804233,27,40.2,30
30.274946,72.16115105,3.331352381,762.2804233,27,40.2,30
30.327428,72.16115105,3.331352381,762.2804233,27.1,40.2,30
27.443805,72.16115105,3.331352381,762.2804233,24.5,37.3,27.4
21.345269,72.16115105,3.331352381,762.2804233,19.2,31,21.7
21.345269,72.16115105,3.331352381,762.2804233,19.2,31,21.7
28.273706,72.16115105,3.331352381,762.2804233,25.3,38.1,28.1
28.273706,72.16115105,3.331352381,762.2804233,25.3,38.1,28.1
16.275043,72.16115105,3.331352381,762.2804233,14.7,25.9,17.1
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
29.725254,77.2521321,3.327670046,556.6247582,27.1,36.9,29.3
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
29.980852,77.2521321,3.327670046,556.6247582,27.3,37.2,29.5
29.980852,77.2521321,3.327670046,556.6247582,27.3,37.2,29.5
29.980852,77.2521321,3.327670046,556.6247582,27.3,37.2,29.5
29.876636,77.2521321,3.327670046,556.6247582,27.2,37.1,29.4
29.980852,77.2521321,3.327670046,556.6247582,27.3,37.2,29.5
29.980852,77.2521321,3.327670046,556.6247582,27.3,37.2,29.5
30.29907,77.2521321,3.327670046,556.6247582,27.6,37.5,29.9
29.980852,77.2521321,3.327670046,556.6247582,27.3,37.2,29.5
