Dry Bulb  Temperature (¢J),Relative Humidity (%),Wind Speed (m/s),Solar Radiation (W/m2),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J),Calculated Wet Bulb Temperature (¢J),Calculated Globe Temperature (¢J),WBGT_out (¢J)
27.995308,69.86473552,2.995082475,623.0824373,24.53550654,36.27007704,27.22840079,,,,,,,,,,,,,,,,,,
29.029138,69.86473552,2.995082475,623.0824373,25.43719312,37.33779107,28.1765072,,,,,,,,,,,,,,,,,,
29.029138,69.86473552,2.995082475,623.0824373,25.43719312,37.33779107,28.1765072,,,,,,,,,,,,,,,,,,
27.995308,69.86473552,2.995082475,623.0824373,24.53550654,36.27007704,27.22840079,,,,,,,,,,,,,,,,,,
27.995308,69.86473552,2.995082475,623.0824373,24.53550654,36.27007704,27.22840079,,,,,,,,,,,,,,,,,,
29.029138,69.86473552,2.995082475,623.0824373,25.43719312,37.33779107,28.1765072,,,,,,,,,,,,,,,,,,
29.029138,69.86473552,2.995082475,623.0824373,25.43719312,37.33779107,28.1765072,,,,,,,,,,,,,,,,,,
25.133194,69.86473552,2.995082475,623.0824373,22.01207747,33.32083909,24.58594145,,,,,,,,,,,,,,,,,,
25.133194,69.86473552,2.995082475,623.0824373,22.01207747,33.32083909,24.58594145,,,,,,,,,,,,,,,,,,
31.009458,68.22419355,2.076580645,631.3409235,27.14030718,40.74494583,30.24814999,,,,,,,,,,,,,,,,,,
31.009458,68.22419355,2.076580645,631.3409235,27.14030718,40.74494583,30.24814999,,,,,,,,,,,,,,,,,,
31.009458,68.22419355,2.076580645,631.3409235,27.14030718,40.74494583,30.24814999,,,,,,,,,,,,,,,,,,
31.009458,68.22419355,2.076580645,631.3409235,27.14030718,40.74494583,30.24814999,,,,,,,,,,,,,,,,,,
30.449693,68.22419355,2.076580645,631.3409235,26.63938797,40.16465839,29.72547256,,,,,,,,,,,,,,,,,,
31.009458,68.22419355,2.076580645,631.3409235,27.14030718,40.74494583,30.24814999,,,,,,,,,,,,,,,,,,
